id,year,school,school_composition,school_involvement,sep,sep_alpha,sep_beta,oa_1,oa_2,oa_3,oa_4,tr_1,tr_2,em_1,em_2,em_3,em_4,ia_1,ia_2,wc_1,wc_2,cq_1,cq_2,cq_3,cq_4,cq_5,mb_1,mb_2,dp_1,dp_2,mb_3,mb_4,mb_5
27,11,25,catholic,3,0,NA,NA,4,4,4,4,4,4,4,4,3,4,2,3,3,3,3,3,3,2,3,5,4,5,4,5,5,5
27,12,25,catholic,3,0,NA,NA,4,4,4,4,4,4,4,3,4,4,2,1,5,5,3,3,3,2,3,5,5,5,5,5,5,5
28,8,33,protestant,3,NA,2.0107782258775915,3.476335150935583,3,3,4,4,2,3,3,2,4,5,1,1,3,3,2,1,1,2,2,5,5,4,5,5,1,5
28,9,33,protestant,3,NA,2.0107782258775915,3.476335150935583,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,2,2,5,5,5,5,5,1,5
28,10,33,protestant,3,NA,2.0107782258775915,3.476335150935583,5,5,5,5,5,5,5,4,5,5,1,1,3,5,5,5,5,2,2,5,5,5,5,5,5,5
28,12,33,protestant,3,NA,2.0107782258775915,3.476335150935583,5,5,5,5,5,5,5,3,5,5,3,3,5,5,4,3,3,2,2,4,5,4,5,4,3,3
29,8,15,protestant,3,NA,7.0755156471615255,4.897081788550679,4,3,4,4,3,3,2,3,3,4,2,1,4,4,4,4,4,3,2,4,4,3,4,5,5,5
29,9,15,protestant,3,NA,7.0755156471615255,4.897081788550679,4,3,4,4,3,3,2,3,4,5,3,2,4,4,3,4,4,3,3,5,5,2,2,5,5,5
29,10,15,protestant,3,NA,7.0755156471615255,4.897081788550679,5,3,5,5,3,3,3,4,5,5,2,4,5,5,3,5,4,3,4,4,4,3,3,3,3,3
30,8,55,protestant,3,NA,10.001448509505039,3.057919082699401,3,2,3,4,5,5,1,1,2,2,1,2,2,2,2,1,1,2,5,2,2,3,4,3,3,3
30,9,55,protestant,3,NA,10.001448509505039,3.057919082699401,NA,3,3,3,3,3,5,5,5,5,1,1,3,3,1,2,1,1,1,5,5,5,5,5,5,5
30,10,55,protestant,3,NA,10.001448509505039,3.057919082699401,3,3,3,3,3,3,3,3,3,3,1,1,3,3,1,1,4,2,2,3,3,3,3,3,2,3
30,12,55,protestant,3,NA,10.001448509505039,3.057919082699401,3,3,3,3,3,3,3,3,3,3,1,1,3,3,2,3,3,1,1,4,4,4,5,5,4,4
32,8,55,protestant,3,NA,10.96817600331497,4.325125512354054,3,1,3,3,2,2,2,2,2,2,2,2,2,2,1,3,1,2,2,3,2,5,5,2,2,3
32,9,55,protestant,3,NA,10.96817600331497,4.325125512354054,4,3,3,4,3,3,4,3,4,4,3,3,4,4,1,4,1,4,2,2,3,5,5,3,3,3
32,10,55,protestant,3,NA,10.96817600331497,4.325125512354054,4,1,3,2,1,1,2,2,2,4,1,1,1,1,1,2,1,1,1,1,1,1,3,1,2,1
32,11,55,protestant,3,NA,10.96817600331497,4.325125512354054,2,1,2,1,2,2,4,4,4,4,4,4,1,1,1,1,2,1,1,3,1,4,5,5,1,1
33,8,42,catholic,1,NA,5.199956854512955,2.0363856101303406,2,5,2,2,2,2,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,1,5,5,5
33,9,42,catholic,1,NA,5.199956854512955,2.0363856101303406,4,4,3,4,1,2,4,1,1,1,2,2,2,2,1,2,2,2,5,2,1,3,3,1,2,1
33,10,42,catholic,1,NA,5.199956854512955,2.0363856101303406,1,5,1,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1
33,12,42,catholic,1,NA,5.199956854512955,2.0363856101303406,2,4,NA,2,2,1,1,1,1,1,3,3,1,1,1,1,2,1,1,3,3,1,1,3,3,3
34,8,9,protestant,3,1,NA,NA,5,5,5,5,4,5,2,5,4,5,2,3,5,4,5,5,1,5,5,4,5,4,5,5,5,5
34,9,9,protestant,3,1,NA,NA,5,5,5,5,4,5,5,5,5,2,1,1,5,5,5,5,5,5,5,1,5,5,5,5,1,1
34,10,9,protestant,3,1,NA,NA,5,5,5,5,3,3,2,2,1,3,1,2,5,5,5,5,5,5,5,2,4,5,5,5,5,2
34,11,9,protestant,3,1,NA,NA,2,2,1,1,3,2,5,3,5,4,5,5,3,4,3,4,5,3,4,3,3,5,4,4,4,4
35,8,46,catholic,3,NA,4.273489511712036,13.664480237195948,4,1,5,4,4,4,4,5,5,5,2,1,4,4,1,2,1,2,3,5,5,1,5,3,3,5
35,9,46,catholic,3,NA,4.273489511712036,13.664480237195948,3,1,4,4,4,4,4,4,2,5,3,3,4,3,1,2,3,1,1,1,1,3,5,5,5,5
35,10,46,catholic,3,NA,4.273489511712036,13.664480237195948,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,1,2,2,3,3,3,3,3,3,3
35,11,46,catholic,3,NA,4.273489511712036,13.664480237195948,3,1,4,4,3,3,2,2,3,4,4,3,3,3,1,3,2,1,1,3,3,2,2,3,3,3
37,8,2,catholic,2,NA,0.2857574993709271,1.5713003170179412,2,3,3,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,5,3,3,4,5,3,2
37,9,2,catholic,2,NA,0.2857574993709271,1.5713003170179412,3,3,3,3,3,3,3,3,2,3,3,2,2,2,1,1,1,2,1,4,3,3,2,NA,NA,NA
37,10,2,catholic,2,NA,0.2857574993709271,1.5713003170179412,4,2,3,4,3,3,1,1,1,1,NA,1,2,2,1,1,1,1,1,3,3,2,2,5,5,5
37,11,2,catholic,2,NA,0.2857574993709271,1.5713003170179412,3,2,3,3,2,3,4,3,1,3,2,3,2,2,2,2,3,1,1,1,2,4,4,5,5,5
38,8,19,protestant,3,1,NA,NA,4,4,3,4,4,4,2,2,2,2,2,1,3,3,3,3,1,3,3,3,4,4,5,3,4,3
38,9,19,protestant,3,1,NA,NA,5,4,5,5,4,4,3,3,2,4,2,1,4,4,4,4,2,3,4,5,5,4,5,4,5,3
38,10,19,protestant,3,1,NA,NA,5,5,5,5,4,4,3,4,1,3,1,1,4,4,3,3,3,1,1,5,5,5,5,3,4,3
38,11,19,protestant,3,1,NA,NA,4,5,5,5,5,5,4,5,4,4,1,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5
38,12,19,protestant,3,1,NA,NA,5,5,5,5,4,5,5,5,4,5,2,2,5,5,5,5,5,4,5,5,5,5,5,4,5,4
39,8,46,catholic,3,1,NA,NA,3,1,3,2,3,3,2,2,2,4,1,2,2,2,2,2,2,1,1,4,4,3,4,5,4,4
39,9,46,catholic,3,1,NA,NA,3,2,3,2,2,2,1,2,2,4,3,3,2,2,1,1,1,1,1,4,3,3,5,5,4,4
39,11,46,catholic,3,1,NA,NA,3,1,3,3,3,3,1,4,2,2,1,1,2,2,1,2,1,1,1,3,4,3,5,5,4,4
